datadate,gvkey,gvkeyx,isin,from,thru,conm,cshtrd,prccd,divd,curcdd,exchg,fic,gind,iid,secstat,trfd
2018-11-14,220301,150095,US5893392093,2007-06-18,,MERCK KGAA,,19.2,,EUR,257.0,DEU,352020,90W,A,1.10357558
2018-11-14,273099,150095,DE000A0D9PT0,2019-10-09,,MTU AERO ENGINES AG,131179.0,187.0,,EUR,171.0,DEU,201010,01W,A,1.32395959
2018-11-14,132740,150095,DE000A2NBU26,2009-12-21,,INFINEON TECHNOLOGIES AG,,17.238,,EUR,154.0,DEU,453010,02W,I,1.1625003
2018-11-14,100083,150095,US07724U1034,2008-12-22,,BEIERSDORF AG,,18.0,,EUR,154.0,DEU,303020,90W,A,1.03314021
2018-11-14,015576,150095,DE0005140008,1988-07-31,,DEUTSCHE BANK AG,8740232.0,8.731,,EUR,171.0,DEU,402030,01W,A,2.03682208
2018-11-14,132740,150095,DE0006231004,2009-12-21,,INFINEON TECHNOLOGIES AG,9156726.0,17.735,,EUR,171.0,DEU,453010,01W,A,1.14675142
2018-11-14,100080,150095,DE000BAY0017,1988-07-31,,BAYER AG,5283514.0,64.5,,EUR,171.0,DEU,352020,01W,A,2.89373357
2018-11-14,017436,150095,DE000BASF111,1988-07-31,,BASF SE,2377306.0,69.17,,EUR,171.0,DEU,151010,01W,A,3.30420345
2018-11-14,100022,150095,DE0005190003,1988-07-31,,BAYER MOTOREN WERKE AG,2677272.0,74.66,,EUR,171.0,DEU,251020,01W,A,2.02003854
2018-11-14,100737,150095,US9286623031,2009-12-21,,VOLKSWAGEN AG,,14.216,,EUR,154.0,DEU,251020,91W,A,1.20162617
2018-11-14,103487,150095,DE0007164600,1995-12-31,,SAP SE,2432761.0,91.94,,EUR,171.0,DEU,451030,02W,A,1.71314544
2018-11-14,015677,150095,DE0008430026,1996-09-21,,MUNICH RE CO,581575.0,193.65,,EUR,171.0,DEU,403010,01W,A,2.05521899
2018-11-14,221616,150095,DE0005557508,1996-11-18,,DEUTSCHE TELEKOM,11957720.0,14.965,,EUR,171.0,DEU,501010,01W,A,2.48440562
2018-11-14,100373,150095,DE0006047004,2010-06-21,,HEIDELBERGCEMENT AG,656540.0,60.22,,EUR,171.0,DEU,151020,01W,A,1.49437065
2018-11-14,243774,150095,DE0005810055,2012-02-08,,DEUTSCHE BOERSE AG,576611.0,111.25,,EUR,171.0,DEU,402030,01W,A,1.63668171
2018-11-14,101942,150095,DE0006048432,1988-07-31,,HENKEL AG & CO KGAA,708226.0,97.62,,EUR,171.0,DEU,303010,01W,A,1.86362843
2018-11-14,017828,150095,DE0007100000,1988-07-31,,DAIMLER AG,4387665.0,52.29,,EUR,171.0,DEU,251020,01W,A,2.87955522
2018-11-14,015724,150095,DE0008404005,1988-07-31,,ALLIANZ SE,1354859.0,190.8,,EUR,171.0,DEU,403010,01W,A,2.03783269
2018-11-14,101942,150095,US42550U1097,1988-07-31,,HENKEL AG & CO KGAA,,86.0,,EUR,257.0,DEU,303010,90W,A,1.12029082
2018-11-14,100103,150095,US2515613048,1988-07-31,,DEUTSCHE LUFTHANSA AG,576.0,21.0,,EUR,154.0,DEU,203020,90W,A,1.16194931
2018-11-14,315682,150095,DE000A1ML7J1,2015-09-21,,VONOVIA SE,1600184.0,42.55,,EUR,171.0,DEU,601020,01W,A,1.16862559
2018-11-14,100590,150095,DE000ENAG999,1988-07-31,,E.ON SE,23199130.0,8.969,,EUR,171.0,DEU,551030,01W,A,3.92365364
2018-11-14,100022,150095,DE0005190037,1988-07-31,,BAYER MOTOREN WERKE AG,97440.0,65.95,,EUR,171.0,DEU,251020,02W,A,2.06175995
2018-11-14,100737,150095,DE0007664039,2009-12-21,,VOLKSWAGEN AG,1546762.0,149.3,,EUR,171.0,DEU,251020,02W,A,2.22719918
2018-11-14,100103,150095,DE0008232125,1988-07-31,,DEUTSCHE LUFTHANSA AG,5691096.0,20.47,,EUR,171.0,DEU,203020,01W,A,1.92568304
2018-11-15,100103,150095,DE0008232125,1988-07-31,,DEUTSCHE LUFTHANSA AG,5151596.0,20.09,,EUR,171.0,DEU,203020,01W,A,1.92568304
2018-11-15,100590,150095,DE000ENAG999,1988-07-31,,E.ON SE,12055290.0,8.994,,EUR,171.0,DEU,551030,01W,A,3.92365364
2018-11-15,100103,150095,US2515613048,1988-07-31,,DEUTSCHE LUFTHANSA AG,5.0,20.6,,EUR,154.0,DEU,203020,90W,A,1.16194931
2018-11-15,103487,150095,DE0007164600,1995-12-31,,SAP SE,2184225.0,92.15,,EUR,171.0,DEU,451030,02W,A,1.71314544
2018-11-15,017828,150095,DE0007100000,1988-07-31,,DAIMLER AG,5054950.0,51.06,,EUR,171.0,DEU,251020,01W,A,2.87955522
2018-11-15,101942,150095,DE0006048432,1988-07-31,,HENKEL AG & CO KGAA,925377.0,97.96,,EUR,171.0,DEU,303010,01W,A,1.86362843
2018-11-15,100737,150095,DE0007664039,2009-12-21,,VOLKSWAGEN AG,956012.0,147.64,,EUR,171.0,DEU,251020,02W,A,2.22719918
2018-11-15,100022,150095,DE0005190037,1988-07-31,,BAYER MOTOREN WERKE AG,76916.0,65.65,,EUR,171.0,DEU,251020,02W,A,2.06175995
2018-11-15,221616,150095,DE0005557508,1996-11-18,,DEUTSCHE TELEKOM,10538000.0,14.93,,EUR,171.0,DEU,501010,01W,A,2.48440562
2018-11-15,015677,150095,DE0008430026,1996-09-21,,MUNICH RE CO,780865.0,192.05,,EUR,171.0,DEU,403010,01W,A,2.05521899
2018-11-15,015724,150095,DE0008404005,1988-07-31,,ALLIANZ SE,1446421.0,189.36,,EUR,171.0,DEU,403010,01W,A,2.03783269
2018-11-15,100373,150095,DE0006047004,2010-06-21,,HEIDELBERGCEMENT AG,777095.0,59.86,,EUR,171.0,DEU,151020,01W,A,1.49437065
2018-11-15,315682,150095,DE000A1ML7J1,2015-09-21,,VONOVIA SE,1071669.0,42.1,,EUR,171.0,DEU,601020,01W,A,1.16862559
2018-11-15,243774,150095,DE0005810055,2012-02-08,,DEUTSCHE BOERSE AG,496830.0,109.9,,EUR,171.0,DEU,402030,01W,A,1.63668171
2018-11-15,101942,150095,US42550U1097,1988-07-31,,HENKEL AG & CO KGAA,,83.0,,EUR,257.0,DEU,303010,90W,A,1.12029082
2018-11-15,100737,150095,DE0007664005,2009-12-21,,VOLKSWAGEN AG,87485.0,144.3,,EUR,171.0,DEU,251020,01W,A,1.85208948
2018-11-15,242158,150095,DE0007472060,2018-09-24,,WIRECARD AG,1003137.0,149.0,,EUR,171.0,DEU,451020,01W,A,1.06188661
2018-11-15,220301,150095,DE0006599905,2007-06-18,,MERCK KGAA,1113570.0,95.5,,EUR,171.0,DEU,352020,01W,A,1.55681365
2018-11-15,241456,150095,DE0005552004,2001-03-19,,DEUTSCHE POST AG,3126531.0,28.46,,EUR,171.0,DEU,203010,01W,A,1.87114121
2018-11-15,320448,150095,DE0006062144,2018-03-19,,COVESTRO AG,1412479.0,56.96,,EUR,154.0,DEU,151010,01W,A,1.06857871
2018-11-15,100953,150095,DE0007037129,1988-07-31,,RWE AG,11895680.0,18.44,,EUR,171.0,DEU,551030,01W,A,2.74528785
2018-11-15,100953,150095,DE0007037145,1988-07-31,,RWE AG,110773.0,15.52,,EUR,171.0,DEU,551030,03W,A,3.33516595
2018-11-15,241456,150095,US25157Y2028,2001-03-19,,DEUTSCHE POST AG,,27.2,,EUR,154.0,DEU,203010,90W,A,1.39475889
2018-11-15,100037,150095,DE0006483001,1988-07-31,,LINDE AG,68171.0,191.9,,EUR,171.0,DEU,151010,01W,I,1.98445726
2018-11-15,221244,150095,DE000A1EWWW0,1998-06-19,,ADIDAS AG,693381.0,205.5,,EUR,171.0,DEU,252030,01W,A,1.31967518
2018-11-15,101942,150095,US42550U2087,1988-07-31,,HENKEL AG & CO KGAA,,98.0,,EUR,257.0,DEU,303010,91W,A,1.10692091
2018-11-15,202305,150095,DE0005785604,2019-03-26,,FRESENIUS SE & CO KGAA,1584146.0,53.1,,EUR,171.0,DEU,351020,01W,A,1.37264343
2018-11-15,100080,150095,DE000BAY0017,1988-07-31,,BAYER AG,4164980.0,63.51,,EUR,171.0,DEU,352020,01W,A,2.89373357
2018-11-15,100083,150095,DE0005200000,2008-12-22,,BEIERSDORF AG,446227.0,91.6,,EUR,171.0,DEU,303020,01W,A,1.55226921
2018-11-15,273099,150095,DE000A0D9PT0,2019-10-09,,MTU AERO ENGINES AG,122062.0,186.8,,EUR,171.0,DEU,201010,01W,A,1.32395959
2018-11-15,100022,150095,DE0005190003,1988-07-31,,BAYER MOTOREN WERKE AG,2644968.0,74.2,,EUR,171.0,DEU,251020,01W,A,2.02003854
2018-11-15,132740,150095,DE0006231004,2009-12-21,,INFINEON TECHNOLOGIES AG,6759870.0,17.63,,EUR,171.0,DEU,453010,01W,A,1.14675142
2018-11-15,132740,150095,DE000A2NBU26,2009-12-21,,INFINEON TECHNOLOGIES AG,,16.98,,EUR,154.0,DEU,453010,02W,I,1.1625003
2018-11-15,017436,150095,DE000BASF111,1988-07-31,,BASF SE,2800238.0,69.65,,EUR,171.0,DEU,151010,01W,A,3.30420345
2018-11-15,212782,150095,DE0005785802,1999-09-20,,FRESENIUS MEDICAL CARE AG&CO,821024.0,70.8,,EUR,171.0,DEU,351020,01W,A,1.33123301
2018-11-15,220301,150095,US5893392093,2007-06-18,,MERCK KGAA,233.0,19.0,,EUR,257.0,DEU,352020,90W,A,1.10357558
2018-11-15,100737,150095,US9286623031,2009-12-21,,VOLKSWAGEN AG,,14.334,,EUR,154.0,DEU,251020,91W,A,1.20162617
2018-11-15,101942,150095,DE0006048408,1988-07-31,,HENKEL AG & CO KGAA,111530.0,88.5,,EUR,171.0,DEU,303010,02W,A,1.44322888
2018-11-15,025124,150095,IE00BZ12WP82,2018-11-21,,LINDE PLC,1509252.0,135.7,,EUR,171.0,IRL,151010,01W,A,1.0
2018-11-15,019349,150095,DE0007236101,1988-07-31,,SIEMENS AG,2587000.0,101.36,,EUR,171.0,DEU,201050,01W,A,2.16757963
2018-11-15,100083,150095,US07724U1034,2008-12-22,,BEIERSDORF AG,,17.9,,EUR,154.0,DEU,303020,90W,A,1.03314021
2018-11-15,100609,150095,DE0005439004,2012-09-24,,CONTINENTAL AG,765874.0,135.95,,EUR,171.0,DEU,251010,01W,A,1.70990032
2018-11-15,015576,150095,DE0005140008,1988-07-31,,DEUTSCHE BANK AG,12225160.0,8.606,,EUR,171.0,DEU,402030,01W,A,2.03682208
2018-11-15,100373,150095,US42281P2056,2010-06-21,,HEIDELBERGCEMENT AG,,14.2,,EUR,154.0,DEU,151020,90W,A,1.08212306
2018-11-16,019349,150095,DE0007236101,1988-07-31,,SIEMENS AG,3033865.0,101.34,,EUR,171.0,DEU,201050,01W,A,2.16757963
2018-11-16,100609,150095,DE0005439004,2012-09-24,,CONTINENTAL AG,451572.0,135.45,,EUR,171.0,DEU,251010,01W,A,1.70990032
2018-11-16,212782,150095,DE0005785802,1999-09-20,,FRESENIUS MEDICAL CARE AG&CO,938259.0,70.54,,EUR,171.0,DEU,351020,01W,A,1.33123301
2018-11-16,015576,150095,DE0005140008,1988-07-31,,DEUTSCHE BANK AG,12861850.0,8.602,,EUR,171.0,DEU,402030,01W,A,2.03682208
2018-11-16,100737,150095,US9286623031,2009-12-21,,VOLKSWAGEN AG,,14.016,,EUR,154.0,DEU,251020,91W,A,1.20162617
2018-11-16,100083,150095,US07724U1034,2008-12-22,,BEIERSDORF AG,265.0,18.4,,EUR,154.0,DEU,303020,90W,A,1.03314021
2018-11-16,100373,150095,US42281P2056,2010-06-21,,HEIDELBERGCEMENT AG,,14.2,,EUR,154.0,DEU,151020,90W,A,1.08212306
2018-11-16,017436,150095,DE000BASF111,1988-07-31,,BASF SE,3495545.0,69.37,,EUR,171.0,DEU,151010,01W,A,3.30420345
2018-11-16,132740,150095,DE000A2NBU26,2009-12-21,,INFINEON TECHNOLOGIES AG,,16.98,,EUR,154.0,DEU,453010,02W,I,1.1625003
2018-11-16,100022,150095,DE0005190003,1988-07-31,,BAYER MOTOREN WERKE AG,1941853.0,73.74,,EUR,171.0,DEU,251020,01W,A,2.02003854
2018-11-16,273099,150095,DE000A0D9PT0,2019-10-09,,MTU AERO ENGINES AG,170727.0,183.0,,EUR,171.0,DEU,201010,01W,A,1.32395959
2018-11-16,100083,150095,DE0005200000,2008-12-22,,BEIERSDORF AG,383092.0,93.24,,EUR,171.0,DEU,303020,01W,A,1.55226921
2018-11-16,025124,150095,IE00BZ12WP82,2018-11-21,,LINDE PLC,1354404.0,136.0,,EUR,171.0,IRL,151010,01W,A,1.0
2018-11-16,101942,150095,DE0006048408,1988-07-31,,HENKEL AG & CO KGAA,121192.0,90.15,,EUR,171.0,DEU,303010,02W,A,1.44322888
2018-11-16,220301,150095,US5893392093,2007-06-18,,MERCK KGAA,,19.1,,EUR,257.0,DEU,352020,90W,A,1.10357558
2018-11-16,101942,150095,US42550U1097,1988-07-31,,HENKEL AG & CO KGAA,,88.0,,EUR,257.0,DEU,303010,90W,A,1.12029082
2018-11-16,015724,150095,DE0008404005,1988-07-31,,ALLIANZ SE,1695031.0,189.24,,EUR,171.0,DEU,403010,01W,A,2.03783269
2018-11-16,315682,150095,DE000A1ML7J1,2015-09-21,,VONOVIA SE,1354922.0,42.42,,EUR,171.0,DEU,601020,01W,A,1.16862559
2018-11-16,221616,150095,DE0005557508,1996-11-18,,DEUTSCHE TELEKOM,21502470.0,15.13,,EUR,171.0,DEU,501010,01W,A,2.48440562
2018-11-16,132740,150095,DE0006231004,2009-12-21,,INFINEON TECHNOLOGIES AG,9362265.0,17.105,,EUR,171.0,DEU,453010,01W,A,1.14675142
2018-11-16,100590,150095,DE000ENAG999,1988-07-31,,E.ON SE,15901720.0,9.131,,EUR,171.0,DEU,551030,01W,A,3.92365364
2018-11-16,100373,150095,DE0006047004,2010-06-21,,HEIDELBERGCEMENT AG,900458.0,60.02,,EUR,171.0,DEU,151020,01W,A,1.49437065
2018-11-16,101942,150095,DE0006048432,1988-07-31,,HENKEL AG & CO KGAA,1015408.0,99.82,,EUR,171.0,DEU,303010,01W,A,1.86362843
2018-11-16,103487,150095,DE0007164600,1995-12-31,,SAP SE,3342852.0,91.7,,EUR,171.0,DEU,451030,02W,A,1.71314544
2018-11-16,017828,150095,DE0007100000,1988-07-31,,DAIMLER AG,4894118.0,50.49,,EUR,171.0,DEU,251020,01W,A,2.87955522
2018-11-16,015677,150095,DE0008430026,1996-09-21,,MUNICH RE CO,741838.0,191.8,,EUR,171.0,DEU,403010,01W,A,2.05521899
2018-11-16,100103,150095,DE0008232125,1988-07-31,,DEUTSCHE LUFTHANSA AG,4637193.0,20.15,,EUR,171.0,DEU,203020,01W,A,1.92568304
2018-11-16,243774,150095,DE0005810055,2012-02-08,,DEUTSCHE BOERSE AG,997610.0,114.5,,EUR,171.0,DEU,402030,01W,A,1.63668171
2018-11-16,100737,150095,DE0007664039,2009-12-21,,VOLKSWAGEN AG,1932846.0,143.92,,EUR,171.0,DEU,251020,02W,A,2.22719918
2018-11-16,100022,150095,DE0005190037,1988-07-31,,BAYER MOTOREN WERKE AG,94363.0,65.45,,EUR,171.0,DEU,251020,02W,A,2.06175995
2018-11-16,100103,150095,US2515613048,1988-07-31,,DEUTSCHE LUFTHANSA AG,75.0,20.2,,EUR,154.0,DEU,203020,90W,A,1.16194931
2018-11-16,202305,150095,DE0005785604,2019-03-26,,FRESENIUS SE & CO KGAA,1728815.0,53.02,,EUR,171.0,DEU,351020,01W,A,1.37264343
2018-11-16,100080,150095,DE000BAY0017,1988-07-31,,BAYER AG,5436888.0,62.59,,EUR,171.0,DEU,352020,01W,A,2.89373357
2018-11-16,221244,150095,DE000A1EWWW0,1998-06-19,,ADIDAS AG,807446.0,204.7,,EUR,171.0,DEU,252030,01W,A,1.31967518
2018-11-16,220301,150095,DE0006599905,2007-06-18,,MERCK KGAA,779281.0,97.64,,EUR,171.0,DEU,352020,01W,A,1.55681365
2018-11-16,100737,150095,DE0007664005,2009-12-21,,VOLKSWAGEN AG,134593.0,141.9,,EUR,171.0,DEU,251020,01W,A,1.85208948
2018-11-16,241456,150095,US25157Y2028,2001-03-19,,DEUTSCHE POST AG,,28.0,,EUR,154.0,DEU,203010,90W,A,1.39475889
2018-11-16,100953,150095,DE0007037129,1988-07-31,,RWE AG,6669990.0,19.08,,EUR,171.0,DEU,551030,01W,A,2.74528785
2018-11-16,320448,150095,DE0006062144,2018-03-19,,COVESTRO AG,1321939.0,56.36,,EUR,154.0,DEU,151010,01W,A,1.06857871
2018-11-16,100037,150095,DE0006483001,1988-07-31,,LINDE AG,95189.0,191.9,,EUR,171.0,DEU,151010,01W,I,1.98445726
2018-11-16,242158,150095,DE0007472060,2018-09-24,,WIRECARD AG,987880.0,147.8,,EUR,171.0,DEU,451020,01W,A,1.06188661
2018-11-16,101942,150095,US42550U2087,1988-07-31,,HENKEL AG & CO KGAA,,98.0,,EUR,257.0,DEU,303010,91W,A,1.10692091
2018-11-16,241456,150095,DE0005552004,2001-03-19,,DEUTSCHE POST AG,3474541.0,28.44,,EUR,171.0,DEU,203010,01W,A,1.87114121
2018-11-16,100953,150095,DE0007037145,1988-07-31,,RWE AG,80518.0,16.22,,EUR,171.0,DEU,551030,03W,A,3.33516595
2018-11-19,101942,150095,US42550U2087,1988-07-31,,HENKEL AG & CO KGAA,,97.5,,EUR,257.0,DEU,303010,91W,A,1.10692091
2018-11-19,100737,150095,DE0007664005,2009-12-21,,VOLKSWAGEN AG,139134.0,143.4,,EUR,171.0,DEU,251020,01W,A,1.85208948
2018-11-19,100080,150095,DE000BAY0017,1988-07-31,,BAYER AG,2895885.0,62.3,,EUR,171.0,DEU,352020,01W,A,2.89373357
2018-11-19,320448,150095,DE0006062144,2018-03-19,,COVESTRO AG,1098420.0,55.9,,EUR,154.0,DEU,151010,01W,A,1.06857871
2018-11-19,242158,150095,DE0007472060,2018-09-24,,WIRECARD AG,1702942.0,137.6,,EUR,171.0,DEU,451020,01W,A,1.06188661
2018-11-19,100037,150095,DE0006483001,1988-07-31,,LINDE AG,100917.0,191.85,,EUR,171.0,DEU,151010,01W,I,1.98445726
2018-11-19,241456,150095,US25157Y2028,2001-03-19,,DEUTSCHE POST AG,,28.0,,EUR,154.0,DEU,203010,90W,A,1.39475889
2018-11-19,221244,150095,DE000A1EWWW0,1998-06-19,,ADIDAS AG,658543.0,200.8,,EUR,171.0,DEU,252030,01W,A,1.31967518
2018-11-19,220301,150095,DE0006599905,2007-06-18,,MERCK KGAA,741345.0,96.92,,EUR,171.0,DEU,352020,01W,A,1.55681365
2018-11-19,100953,150095,DE0007037145,1988-07-31,,RWE AG,65669.0,16.34,,EUR,171.0,DEU,551030,03W,A,3.33516595
2018-11-19,202305,150095,DE0005785604,2019-03-26,,FRESENIUS SE & CO KGAA,2239483.0,51.46,,EUR,171.0,DEU,351020,01W,A,1.37264343
2018-11-19,132740,150095,DE000A2NBU26,2009-12-21,,INFINEON TECHNOLOGIES AG,,17.5,,EUR,154.0,DEU,453010,02W,I,1.1625003
2018-11-19,100083,150095,US07724U1034,2008-12-22,,BEIERSDORF AG,,18.2,,EUR,154.0,DEU,303020,90W,A,1.03314021
2018-11-19,100083,150095,DE0005200000,2008-12-22,,BEIERSDORF AG,236508.0,92.02,,EUR,171.0,DEU,303020,01W,A,1.55226921
2018-11-19,100373,150095,US42281P2056,2010-06-21,,HEIDELBERGCEMENT AG,,14.2,,EUR,154.0,DEU,151020,90W,A,1.08212306
2018-11-19,100737,150095,US9286623031,2009-12-21,,VOLKSWAGEN AG,25.0,14.21,,EUR,154.0,DEU,251020,91W,A,1.20162617
2018-11-19,025124,150095,IE00BZ12WP82,2018-11-21,,LINDE PLC,990163.0,139.3,,EUR,171.0,IRL,151010,01W,A,1.0
2018-11-19,019349,150095,DE0007236101,1988-07-31,,SIEMENS AG,2261596.0,100.02,,EUR,171.0,DEU,201050,01W,A,2.16757963
2018-11-19,015576,150095,DE0005140008,1988-07-31,,DEUTSCHE BANK AG,8484202.0,8.564,,EUR,171.0,DEU,402030,01W,A,2.03682208
2018-11-19,220301,150095,US5893392093,2007-06-18,,MERCK KGAA,,19.3,,EUR,257.0,DEU,352020,90W,A,1.10357558
2018-11-19,212782,150095,DE0005785802,1999-09-20,,FRESENIUS MEDICAL CARE AG&CO,815808.0,68.48,,EUR,171.0,DEU,351020,01W,A,1.33123301
2018-11-19,273099,150095,DE000A0D9PT0,2019-10-09,,MTU AERO ENGINES AG,125375.0,181.0,,EUR,171.0,DEU,201010,01W,A,1.32395959
2018-11-19,100609,150095,DE0005439004,2012-09-24,,CONTINENTAL AG,466763.0,135.95,,EUR,171.0,DEU,251010,01W,A,1.70990032
2018-11-19,017436,150095,DE000BASF111,1988-07-31,,BASF SE,2238570.0,69.02,,EUR,171.0,DEU,151010,01W,A,3.30420345
2018-11-19,100022,150095,DE0005190003,1988-07-31,,BAYER MOTOREN WERKE AG,1711054.0,74.18,,EUR,171.0,DEU,251020,01W,A,2.02003854
2018-11-19,100953,150095,DE0007037129,1988-07-31,,RWE AG,3589454.0,19.3,,EUR,171.0,DEU,551030,01W,A,2.74528785
2018-11-19,101942,150095,DE0006048408,1988-07-31,,HENKEL AG & CO KGAA,199407.0,90.0,,EUR,171.0,DEU,303010,02W,A,1.44322888
2018-11-19,103487,150095,DE0007164600,1995-12-31,,SAP SE,3119886.0,88.95,,EUR,171.0,DEU,451030,02W,A,1.71314544
2018-11-19,100737,150095,DE0007664039,2009-12-21,,VOLKSWAGEN AG,1666098.0,146.72,,EUR,171.0,DEU,251020,02W,A,2.22719918
2018-11-19,132740,150095,DE0006231004,2009-12-21,,INFINEON TECHNOLOGIES AG,6105668.0,17.075,,EUR,171.0,DEU,453010,01W,A,1.14675142
2018-11-19,017828,150095,DE0007100000,1988-07-31,,DAIMLER AG,4459905.0,50.45,,EUR,171.0,DEU,251020,01W,A,2.87955522
2018-11-19,100103,150095,US2515613048,1988-07-31,,DEUTSCHE LUFTHANSA AG,145.0,20.4,,EUR,154.0,DEU,203020,90W,A,1.16194931
2018-11-19,100103,150095,DE0008232125,1988-07-31,,DEUTSCHE LUFTHANSA AG,3391249.0,20.22,,EUR,171.0,DEU,203020,01W,A,1.92568304
2018-11-19,315682,150095,DE000A1ML7J1,2015-09-21,,VONOVIA SE,992202.0,42.13,,EUR,171.0,DEU,601020,01W,A,1.16862559
2018-11-19,221616,150095,DE0005557508,1996-11-18,,DEUTSCHE TELEKOM,11060590.0,15.17,,EUR,171.0,DEU,501010,01W,A,2.48440562
2018-11-19,241456,150095,DE0005552004,2001-03-19,,DEUTSCHE POST AG,2348857.0,28.13,,EUR,171.0,DEU,203010,01W,A,1.87114121
2018-11-19,015724,150095,DE0008404005,1988-07-31,,ALLIANZ SE,938928.0,188.66,,EUR,171.0,DEU,403010,01W,A,2.03783269
2018-11-19,100590,150095,DE000ENAG999,1988-07-31,,E.ON SE,8822208.0,9.206,,EUR,171.0,DEU,551030,01W,A,3.92365364
2018-11-19,101942,150095,DE0006048432,1988-07-31,,HENKEL AG & CO KGAA,727189.0,98.06,,EUR,171.0,DEU,303010,01W,A,1.86362843
2018-11-19,101942,150095,US42550U1097,1988-07-31,,HENKEL AG & CO KGAA,,91.0,,EUR,257.0,DEU,303010,90W,A,1.12029082
2018-11-19,243774,150095,DE0005810055,2012-02-08,,DEUTSCHE BOERSE AG,679716.0,111.75,,EUR,171.0,DEU,402030,01W,A,1.63668171
2018-11-19,015677,150095,DE0008430026,1996-09-21,,MUNICH RE CO,458292.0,190.3,,EUR,171.0,DEU,403010,01W,A,2.05521899
2018-11-19,100022,150095,DE0005190037,1988-07-31,,BAYER MOTOREN WERKE AG,58899.0,65.95,,EUR,171.0,DEU,251020,02W,A,2.06175995
2018-11-19,100373,150095,DE0006047004,2010-06-21,,HEIDELBERGCEMENT AG,635425.0,59.22,,EUR,171.0,DEU,151020,01W,A,1.49437065
2018-11-20,241456,150095,DE0005552004,2001-03-19,,DEUTSCHE POST AG,2969019.0,27.93,,EUR,171.0,DEU,203010,01W,A,1.87114121
2018-11-20,243774,150095,DE0005810055,2012-02-08,,DEUTSCHE BOERSE AG,665197.0,111.8,,EUR,171.0,DEU,402030,01W,A,1.63668171
2018-11-20,100373,150095,DE0006047004,2010-06-21,,HEIDELBERGCEMENT AG,893301.0,58.5,,EUR,171.0,DEU,151020,01W,A,1.49437065
2018-11-20,221616,150095,DE0005557508,1996-11-18,,DEUTSCHE TELEKOM,16423740.0,15.185,,EUR,171.0,DEU,501010,01W,A,2.48440562
2018-11-20,101942,150095,US42550U1097,1988-07-31,,HENKEL AG & CO KGAA,,88.0,,EUR,257.0,DEU,303010,90W,A,1.12029082
2018-11-20,315682,150095,DE000A1ML7J1,2015-09-21,,VONOVIA SE,1349507.0,41.39,,EUR,171.0,DEU,601020,01W,A,1.16862559
2018-11-20,132740,150095,DE0006231004,2009-12-21,,INFINEON TECHNOLOGIES AG,9791342.0,16.905,,EUR,171.0,DEU,453010,01W,A,1.14675142
2018-11-20,100103,150095,DE0008232125,1988-07-31,,DEUTSCHE LUFTHANSA AG,5172381.0,19.89,,EUR,171.0,DEU,203020,01W,A,1.92568304
2018-11-20,100737,150095,DE0007664039,2009-12-21,,VOLKSWAGEN AG,1385456.0,145.76,,EUR,171.0,DEU,251020,02W,A,2.22719918
2018-11-20,015677,150095,DE0008430026,1996-09-21,,MUNICH RE CO,823006.0,189.85,,EUR,171.0,DEU,403010,01W,A,2.05521899
2018-11-20,100590,150095,DE000ENAG999,1988-07-31,,E.ON SE,10695490.0,9.215,,EUR,171.0,DEU,551030,01W,A,3.92365364
2018-11-20,100103,150095,US2515613048,1988-07-31,,DEUTSCHE LUFTHANSA AG,355.0,19.5,,EUR,154.0,DEU,203020,90W,A,1.16194931
2018-11-20,015724,150095,DE0008404005,1988-07-31,,ALLIANZ SE,1492390.0,184.96,,EUR,171.0,DEU,403010,01W,A,2.03783269
2018-11-20,101942,150095,DE0006048432,1988-07-31,,HENKEL AG & CO KGAA,614705.0,98.08,,EUR,171.0,DEU,303010,01W,A,1.86362843
2018-11-20,100022,150095,DE0005190037,1988-07-31,,BAYER MOTOREN WERKE AG,108157.0,65.0,,EUR,171.0,DEU,251020,02W,A,2.06175995
2018-11-20,017828,150095,DE0007100000,1988-07-31,,DAIMLER AG,4855762.0,49.78,,EUR,171.0,DEU,251020,01W,A,2.87955522
2018-11-20,017436,150095,DE000BASF111,1988-07-31,,BASF SE,5504804.0,66.16,,EUR,171.0,DEU,151010,01W,A,3.30420345
2018-11-20,100953,150095,DE0007037145,1988-07-31,,RWE AG,51120.0,16.18,,EUR,171.0,DEU,551030,03W,A,3.33516595
2018-11-20,100037,150095,DE0006483001,1988-07-31,,LINDE AG,38911.0,192.0,,EUR,171.0,DEU,151010,01W,I,1.98445726
2018-11-20,202305,150095,DE0005785604,2019-03-26,,FRESENIUS SE & CO KGAA,2994664.0,49.86,,EUR,171.0,DEU,351020,01W,A,1.37264343
2018-11-20,320448,150095,DE0006062144,2018-03-19,,COVESTRO AG,4268401.0,47.2,,EUR,154.0,DEU,151010,01W,A,1.06857871
2018-11-20,242158,150095,DE0007472060,2018-09-24,,WIRECARD AG,3412896.0,129.6,,EUR,171.0,DEU,451020,01W,A,1.06188661
2018-11-20,100080,150095,DE000BAY0017,1988-07-31,,BAYER AG,3576017.0,61.02,,EUR,171.0,DEU,352020,01W,A,2.89373357
2018-11-20,101942,150095,US42550U2087,1988-07-31,,HENKEL AG & CO KGAA,,96.5,,EUR,257.0,DEU,303010,91W,A,1.10692091
