date,djct
2001-03-22,4195.87
2001-03-23,4236.87
2001-03-26,4353.84
2001-03-27,4465.16
2001-03-28,4405.73
2001-03-29,4406.15
2001-03-30,4454.6
2001-04-02,4425.69
2001-04-03,4328.0
2001-04-04,4330.13
2001-04-05,4449.43
2001-04-06,4360.34
2001-04-09,4408.73
2001-04-10,4533.3
2001-04-11,4494.82
2001-04-12,4523.38
2001-04-13,4523.38
2001-04-16,4533.11
2001-04-17,4575.55
2001-04-18,4708.18
2001-04-19,4721.81
2001-04-20,4676.84
2001-04-23,4661.49
2001-04-24,4636.03
2001-04-25,4678.64
2001-04-26,4726.14
2001-04-27,4763.84
2001-04-30,4733.24
2001-05-01,4766.74
2001-05-02,4756.55
2001-05-03,4716.22
2001-05-04,4781.42
2001-05-07,4761.27
2001-05-08,4740.67
2001-05-09,4751.43
2001-05-10,4774.2
2001-05-11,4753.68
2001-05-14,4779.44
2001-05-15,4766.09
2001-05-16,4875.3
2001-05-17,4895.36
2001-05-18,4926.57
2001-05-21,4952.08
2001-05-22,4927.64
2001-05-23,4892.04
2001-05-24,4888.5
2001-05-25,4831.1
2001-05-28,4831.1
2001-05-29,4831.04
2001-05-30,4785.7
2001-05-31,4823.94
2001-06-01,4814.07
2001-06-04,4831.12
2001-06-05,4850.86
2001-06-06,4795.54
2001-06-07,4798.77
2001-06-08,4768.07
2001-06-11,4749.8
2001-06-12,4745.47
2001-06-13,4693.23
2001-06-14,4597.99
2001-06-15,4590.38
2001-06-18,4592.93
2001-06-19,4579.12
2001-06-20,4587.3
2001-06-21,4590.01
2001-06-22,4560.53
2001-06-25,4514.17
2001-06-26,4509.39
2001-06-27,4532.38
2001-06-28,4590.25
2001-06-29,4597.13
2001-07-02,4618.29
2001-07-03,4613.62
2001-07-05,4604.87
2001-07-06,4530.92
2001-07-09,4559.2
2001-07-10,4531.39
2001-07-11,4546.94
2001-07-12,4625.72
2001-07-13,4650.32
2001-07-16,4644.64
2001-07-17,4692.75
2001-07-18,4666.44
2001-07-19,4677.86
2001-07-20,4641.77
2001-07-23,4572.98
2001-07-24,4459.61
2001-07-25,4536.11
2001-07-26,4591.04
2001-07-27,4574.59
2001-07-30,4581.26
2001-07-31,4604.63
2001-08-01,4619.87
2001-08-02,4647.19
2001-08-03,4629.25
2001-08-06,4573.4
2001-08-07,4597.26
2001-08-08,4520.82
2001-08-09,4512.82
2001-08-10,4556.08
2001-08-13,4538.19
2001-08-14,4548.7
2001-08-15,4514.79
2001-08-16,4539.87
2001-08-17,4483.83
2001-08-20,4514.74
2001-08-21,4455.14
2001-08-22,4496.73
